,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc_macro,benign_f1,benign_precision,benign_recall,malignant_f1,malignant_precision,malignant_recall,normal_f1,normal_precision,normal_recall
Fold 0,0.9774436090225563,0.9795899604670405,0.9775224122639964,0.9774774774774775,0.9818518518518519,0.997992784821793,0.9798657718120806,0.9864864864864865,0.9733333333333334,0.958904109589041,0.9459459459459459,0.9722222222222222,1.0,1.0,1.0
Fold 1,0.9699248120300752,0.9716202270381836,0.9694359738355175,0.982905982905983,0.9629629629629629,0.9989691771100123,0.9736842105263158,0.9487179487179487,1.0,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0
Fold 2,0.9924812030075187,0.9930680278539245,0.9924534845953147,0.9955555555555556,0.9907407407407408,0.9998281961850021,0.9932885906040269,0.9866666666666667,1.0,0.9859154929577465,1.0,0.9722222222222222,1.0,1.0,1.0
Fold 3,0.9924242424242424,0.9929319456602794,0.9923947676355029,0.9955555555555556,0.9904761904761905,1.0,0.9932885906040269,0.9866666666666667,1.0,0.9855072463768116,1.0,0.9714285714285714,1.0,1.0,1.0
Fold 4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mean,0.9864547732968785,0.9874420322038855,0.9863613276660663,0.9902989142989144,0.9852063492063493,0.9993580316233615,0.9880254327092899,0.9817075537075539,0.9946666666666667,0.9743006639023669,0.9891891891891891,0.9609523809523811,1.0,1.0,1.0
Std,0.01234773546262261,0.011526904194570108,0.012491238776858912,0.009597138833117693,0.01399351371657195,0.0008747011160927331,0.010851758423275038,0.019332300884272985,0.011925695879998857,0.023744545100067113,0.024173707864862587,0.04207621850006613,0.0,0.0,0.0
